Security_Id,Security_Name,Vendor_Id,Vendor_Name,Vendor_Code,Source_Feed_Id,Rating_Type,Exchange_Code,Country,Sector,Rating_Date,Rating_Code,Rating_Score,Rating_Reason,Is_Active
SEC0091,Freeman Group,30,Fitch,FTC,11,Long Term,BSE,USA,Technology,2022-05-03,AA+,9,Upgraded due to strong quarterly earnings,True
SEC0005,"Mcdonald, Mcguire and Wyatt",20,S&P,SNP,9,Short Term,NSE,UK,Automotive,2024-10-13,B,2,Downgraded after debt increase,True
SEC0066,"Scott, Thomas and Cervantes",10,Moody's,MDY,7,Viability,NYSE,Singapore,Finance,2024-02-20,A,5,Improved financial stability,False
SEC0011,Gibson-Moore,10,Moody's,MDY,7,Long Term,BSE,USA,Technology,2022-05-18,AA-,7,Improved financial stability,False
SEC0094,"Anderson, Cardenas and Rodriguez",20,S&P,SNP,9,Viability,LON,UK,Finance,2023-01-16,AA,8,Improved financial stability,True
SEC0035,Moran Inc,20,S&P,SNP,9,Short Term,NYSE,India,Technology,2023-11-12,CCC,1,Stable outlook maintained,True
SEC0019,Adams PLC,20,S&P,SNP,9,Long Term,LON,India,Healthcare,2022-06-05,AA+,9,Upgraded due to strong quarterly earnings,False
SEC0030,Lamb Group,30,Fitch,FTC,11,Recovery,SGX,USA,Finance,2022-01-01,A,5,Decreased liquidity ratio,False
SEC0067,Poole LLC,30,Fitch,FTC,11,Recovery,SGX,UK,Technology,2024-07-22,A,5,Upgraded due to strong quarterly earnings,False
SEC0041,Hansen LLC,10,Moody's,MDY,7,Viability,NYSE,Singapore,Technology,2023-05-28,A+,6,Upgraded due to strong quarterly earnings,False
SEC0095,"Wheeler, Norman and Rodriguez",10,Moody's,MDY,7,Recovery,NSE,UK,Automotive,2022-01-01,A+,6,Decreased liquidity ratio,False
SEC0036,Myers Inc,10,Moody's,MDY,7,Viability,BSE,Singapore,Technology,2023-01-16,A+,6,Upgraded due to strong quarterly earnings,False
SEC0053,Brandt-Harper,30,Fitch,FTC,11,Long Term,LON,Germany,Healthcare,2023-11-12,AA,8,Upgraded due to strong quarterly earnings,True
SEC0030,Lamb Group,10,Moody's,MDY,7,Recovery,SGX,USA,Finance,2022-01-01,BBB,4,Upgraded due to strong quarterly earnings,False
SEC0085,Wilson-Robbins,20,S&P,SNP,9,Recovery,BSE,Germany,Automotive,2022-02-05,AA,8,Downgraded after debt increase,False
SEC0035,Moran Inc,20,S&P,SNP,9,Short Term,NYSE,India,Technology,2022-10-09,BB,3,Improved financial stability,False
SEC0040,Fox Group,20,S&P,SNP,9,Viability,SGX,UK,Healthcare,2024-05-23,AA+,9,Stable outlook maintained,False
SEC0026,Hernandez Inc,30,Fitch,FTC,11,Viability,SGX,UK,Healthcare,2022-06-19,BBB,4,Downgraded after debt increase,False
SEC0046,Macdonald-Chavez,10,Moody's,MDY,7,Long Term,SGX,Germany,Healthcare,2022-01-01,A+,6,Improved financial stability,False
SEC0084,"Solis, Hutchinson and Morris",20,S&P,SNP,9,Short Term,NYSE,UK,Automotive,2023-07-15,AAA,10,Improved financial stability,True
SEC0043,Dillon PLC,20,S&P,SNP,9,Recovery,BSE,India,Healthcare,2023-03-13,AA+,9,Upgraded due to strong quarterly earnings,True
SEC0096,Collins PLC,20,S&P,SNP,9,Short Term,SGX,Singapore,Finance,2022-01-01,B,2,Downgraded after debt increase,False
SEC0003,"Clark, Martin and Wright",30,Fitch,FTC,11,Short Term,NYSE,Singapore,Energy,2022-01-01,BB,3,Improved financial stability,False
SEC0048,Clay Ltd,10,Moody's,MDY,7,Long Term,BSE,Singapore,Automotive,2022-02-22,AA-,7,Improved financial stability,False
SEC0043,Dillon PLC,30,Fitch,FTC,11,Recovery,BSE,India,Healthcare,2022-02-19,A,5,Stable outlook maintained,True
SEC0007,James and Sons,20,S&P,SNP,9,Viability,SGX,Singapore,Energy,2024-08-10,BB,3,Downgraded after debt increase,True
SEC0060,Kelly Group,30,Fitch,FTC,11,Viability,SGX,Germany,Automotive,2022-06-19,AA-,7,Improved financial stability,False
SEC0093,"Mccormick, Greene and Phillips",20,S&P,SNP,9,Short Term,BSE,UK,Automotive,2022-01-01,AAA,10,Improved financial stability,False
SEC0023,Brown-Lloyd,10,Moody's,MDY,7,Short Term,BSE,India,Automotive,2022-09-18,CCC,1,Downgraded after debt increase,True
SEC0065,"Rodriguez, Green and Shaw",20,S&P,SNP,9,Recovery,NYSE,UK,Healthcare,2022-10-11,AAA,10,Upgraded due to strong quarterly earnings,False
SEC0094,"Anderson, Cardenas and Rodriguez",30,Fitch,FTC,11,Viability,LON,UK,Finance,2024-05-02,AA,8,Upgraded due to strong quarterly earnings,False
SEC0070,Matthews LLC,30,Fitch,FTC,11,Long Term,LON,India,Automotive,2022-01-01,AAA,10,Upgraded due to strong quarterly earnings,False
SEC0096,Collins PLC,30,Fitch,FTC,11,Short Term,SGX,Singapore,Finance,2022-01-01,A+,6,Improved financial stability,False
SEC0019,Adams PLC,30,Fitch,FTC,11,Long Term,LON,India,Healthcare,2024-07-31,AAA,10,Stable outlook maintained,True
SEC0076,"Wheeler, Berry and Gardner",30,Fitch,FTC,11,Long Term,LON,India,Finance,2024-05-18,A,5,Decreased liquidity ratio,True
SEC0052,Gilmore and Sons,30,Fitch,FTC,11,Short Term,NYSE,UK,Automotive,2022-01-01,AA,8,Stable outlook maintained,False
SEC0084,"Solis, Hutchinson and Morris",30,Fitch,FTC,11,Short Term,NYSE,UK,Automotive,2022-10-16,A+,6,Improved financial stability,True
SEC0076,"Wheeler, Berry and Gardner",10,Moody's,MDY,7,Long Term,LON,India,Finance,2022-11-09,AA,8,Upgraded due to strong quarterly earnings,False
SEC0041,Hansen LLC,30,Fitch,FTC,11,Viability,NYSE,Singapore,Technology,2022-06-03,BB,3,Stable outlook maintained,True
SEC0077,"Jones, Gonzalez and Wood",10,Moody's,MDY,7,Viability,LON,Singapore,Finance,2023-02-21,A,5,Downgraded after debt increase,False
SEC0033,Watson-Chang,20,S&P,SNP,9,Recovery,BSE,Singapore,Technology,2022-04-21,A,5,Decreased liquidity ratio,True
SEC0092,"Mcfarland, Andersen and Foster",20,S&P,SNP,9,Short Term,SGX,Singapore,Automotive,2022-02-13,A,5,Stable outlook maintained,False
SEC0056,Smith-Galloway,30,Fitch,FTC,11,Long Term,LON,Singapore,Healthcare,2022-01-01,BBB,4,Stable outlook maintained,False
SEC0036,Myers Inc,30,Fitch,FTC,11,Viability,BSE,Singapore,Technology,2022-01-01,B,2,Stable outlook maintained,False
SEC0072,Butler-Newton,10,Moody's,MDY,7,Viability,LON,Singapore,Finance,2023-03-25,AA,8,Decreased liquidity ratio,False
SEC0071,Rogers-Nunez,20,S&P,SNP,9,Long Term,NSE,UK,Automotive,2023-09-23,B,2,Stable outlook maintained,False
SEC0045,Jones-Leach,20,S&P,SNP,9,Short Term,NSE,India,Energy,2022-11-09,AA,8,Improved financial stability,True
SEC0011,Gibson-Moore,30,Fitch,FTC,11,Long Term,BSE,USA,Technology,2022-01-01,AAA,10,Downgraded after debt increase,False
SEC0050,Matthews Inc,20,S&P,SNP,9,Recovery,SGX,Germany,Energy,2022-05-15,BB,3,Decreased liquidity ratio,True
SEC0029,"Rice, Perez and Calderon",20,S&P,SNP,9,Long Term,NSE,India,Technology,2022-01-01,AA,8,Improved financial stability,False
SEC0050,Matthews Inc,20,S&P,SNP,9,Recovery,SGX,Germany,Energy,2022-01-01,A+,6,Downgraded after debt increase,False
SEC0047,Garcia-Patrick,10,Moody's,MDY,7,Viability,SGX,Germany,Finance,2022-01-01,BBB,4,Upgraded due to strong quarterly earnings,False
SEC0033,Watson-Chang,10,Moody's,MDY,7,Recovery,BSE,Singapore,Technology,2022-01-01,B,2,Upgraded due to strong quarterly earnings,False
SEC0073,"Davis, Knox and Hall",20,S&P,SNP,9,Recovery,BSE,Singapore,Healthcare,2023-10-29,B,2,Decreased liquidity ratio,False
SEC0092,"Mcfarland, Andersen and Foster",20,S&P,SNP,9,Short Term,SGX,Singapore,Automotive,2022-01-01,A+,6,Decreased liquidity ratio,False
SEC0006,"Wilson, Rich and Miller",30,Fitch,FTC,11,Short Term,NYSE,Germany,Automotive,2022-06-04,BB,3,Downgraded after debt increase,False
SEC0064,Barnes PLC,20,S&P,SNP,9,Recovery,NSE,USA,Finance,2022-01-01,AA-,7,Improved financial stability,False
SEC0027,Patterson-Nguyen,20,S&P,SNP,9,Short Term,SGX,Germany,Automotive,2024-02-29,A,5,Decreased liquidity ratio,False
SEC0067,Poole LLC,10,Moody's,MDY,7,Recovery,SGX,UK,Technology,2023-10-20,A,5,Downgraded after debt increase,True
SEC0081,"Daugherty, Walters and Haas",20,S&P,SNP,9,Long Term,NSE,Singapore,Technology,2024-08-15,BB,3,Upgraded due to strong quarterly earnings,False
SEC0028,"Black, Harper and Cox",30,Fitch,FTC,11,Recovery,NYSE,India,Automotive,2022-12-20,A+,6,Decreased liquidity ratio,True
SEC0003,"Clark, Martin and Wright",10,Moody's,MDY,7,Short Term,NYSE,Singapore,Energy,2022-07-11,BBB,4,Upgraded due to strong quarterly earnings,False
SEC0018,Herrera-Walters,30,Fitch,FTC,11,Long Term,BSE,India,Automotive,2024-08-15,AAA,10,Upgraded due to strong quarterly earnings,False
SEC0089,Trevino-Wilson,20,S&P,SNP,9,Viability,LON,UK,Energy,2022-01-01,A,5,Downgraded after debt increase,False
SEC0047,Garcia-Patrick,10,Moody's,MDY,7,Viability,SGX,Germany,Finance,2022-06-09,AAA,10,Upgraded due to strong quarterly earnings,True
SEC0048,Clay Ltd,30,Fitch,FTC,11,Long Term,BSE,Singapore,Automotive,2022-05-21,BBB,4,Stable outlook maintained,False
SEC0078,Meadows-Christensen,30,Fitch,FTC,11,Short Term,SGX,Singapore,Automotive,2023-03-03,A+,6,Improved financial stability,False
SEC0033,Watson-Chang,20,S&P,SNP,9,Recovery,BSE,Singapore,Technology,2022-01-01,BB,3,Improved financial stability,False
SEC0034,Booker-Elliott,10,Moody's,MDY,7,Recovery,NSE,USA,Healthcare,2022-07-14,AAA,10,Upgraded due to strong quarterly earnings,True
SEC0011,Gibson-Moore,10,Moody's,MDY,7,Long Term,BSE,USA,Technology,2024-11-07,AA,8,Decreased liquidity ratio,True
SEC0100,"Lee, Schaefer and Sutton",20,S&P,SNP,9,Long Term,SGX,UK,Energy,2022-10-22,A,5,Improved financial stability,False
SEC0067,Poole LLC,10,Moody's,MDY,7,Recovery,SGX,UK,Technology,2022-01-01,A,5,Stable outlook maintained,False
SEC0017,Brown Inc,30,Fitch,FTC,11,Viability,NSE,Germany,Healthcare,2022-05-25,AA+,9,Improved financial stability,True
SEC0073,"Davis, Knox and Hall",10,Moody's,MDY,7,Recovery,BSE,Singapore,Healthcare,2022-01-01,AA-,7,Downgraded after debt increase,False
SEC0065,"Rodriguez, Green and Shaw",30,Fitch,FTC,11,Recovery,NYSE,UK,Healthcare,2022-07-03,BBB,4,Decreased liquidity ratio,False
SEC0035,Moran Inc,30,Fitch,FTC,11,Short Term,NYSE,India,Technology,2022-01-01,CCC,1,Stable outlook maintained,False
SEC0064,Barnes PLC,30,Fitch,FTC,11,Recovery,NSE,USA,Finance,2022-10-26,B,2,Decreased liquidity ratio,False
SEC0037,"Hill, Rios and Bryant",20,S&P,SNP,9,Recovery,NSE,UK,Technology,2022-01-01,CCC,1,Decreased liquidity ratio,False
SEC0035,Moran Inc,20,S&P,SNP,9,Short Term,NYSE,India,Technology,2022-01-01,BBB,4,Improved financial stability,False
SEC0005,"Mcdonald, Mcguire and Wyatt",20,S&P,SNP,9,Short Term,NSE,UK,Automotive,2022-10-04,B,2,Decreased liquidity ratio,False
SEC0049,West-Mullen,20,S&P,SNP,9,Viability,LON,UK,Energy,2022-09-12,AAA,10,Decreased liquidity ratio,False
SEC0070,Matthews LLC,20,S&P,SNP,9,Long Term,LON,India,Automotive,2024-01-30,AA-,7,Improved financial stability,False
SEC0031,Moore-Bullock,10,Moody's,MDY,7,Long Term,SGX,India,Energy,2022-01-01,AA+,9,Upgraded due to strong quarterly earnings,False
SEC0008,Goodwin-Donaldson,10,Moody's,MDY,7,Short Term,SGX,Singapore,Healthcare,2023-01-16,AAA,10,Improved financial stability,True
SEC0002,Gonzalez-Garza,10,Moody's,MDY,7,Long Term,NSE,USA,Energy,2022-12-06,A+,6,Improved financial stability,False
SEC0052,Gilmore and Sons,10,Moody's,MDY,7,Short Term,NYSE,UK,Automotive,2023-01-06,AA,8,Decreased liquidity ratio,True
SEC0053,Brandt-Harper,30,Fitch,FTC,11,Long Term,LON,Germany,Healthcare,2022-01-01,BBB,4,Downgraded after debt increase,False
SEC0093,"Mccormick, Greene and Phillips",10,Moody's,MDY,7,Short Term,BSE,UK,Automotive,2022-01-01,CCC,1,Improved financial stability,False
SEC0075,Foster-Adams,30,Fitch,FTC,11,Recovery,BSE,Germany,Healthcare,2022-03-06,A+,6,Improved financial stability,True
SEC0070,Matthews LLC,20,S&P,SNP,9,Long Term,LON,India,Automotive,2023-02-19,AAA,10,Improved financial stability,False
SEC0020,Smith Ltd,30,Fitch,FTC,11,Viability,BSE,USA,Finance,2022-01-01,AA,8,Decreased liquidity ratio,False
SEC0096,Collins PLC,20,S&P,SNP,9,Short Term,SGX,Singapore,Finance,2022-03-04,BBB,4,Improved financial stability,False
SEC0092,"Mcfarland, Andersen and Foster",30,Fitch,FTC,11,Short Term,SGX,Singapore,Automotive,2022-01-01,AA-,7,Decreased liquidity ratio,False
SEC0051,Rogers LLC,10,Moody's,MDY,7,Viability,BSE,USA,Automotive,2022-08-07,BB,3,Stable outlook maintained,True
SEC0009,Anderson LLC,30,Fitch,FTC,11,Recovery,BSE,UK,Energy,2022-12-03,B,2,Decreased liquidity ratio,True
SEC0008,Goodwin-Donaldson,30,Fitch,FTC,11,Short Term,SGX,Singapore,Healthcare,2022-11-25,CCC,1,Stable outlook maintained,True
SEC0074,Moyer PLC,30,Fitch,FTC,11,Viability,SGX,UK,Automotive,2022-01-01,AAA,10,Improved financial stability,False
SEC0031,Moore-Bullock,10,Moody's,MDY,7,Long Term,SGX,India,Energy,2023-10-14,B,2,Stable outlook maintained,True
SEC0056,Smith-Galloway,10,Moody's,MDY,7,Long Term,LON,Singapore,Healthcare,2022-01-01,BBB,4,Upgraded due to strong quarterly earnings,False
SEC0071,Rogers-Nunez,30,Fitch,FTC,11,Long Term,NSE,UK,Automotive,2022-12-02,CCC,1,Upgraded due to strong quarterly earnings,True
SEC0024,Hardy-Sims,20,S&P,SNP,9,Long Term,SGX,Germany,Energy,2022-01-01,CCC,1,Stable outlook maintained,False
SEC0094,"Anderson, Cardenas and Rodriguez",20,S&P,SNP,9,Viability,LON,UK,Finance,2022-11-14,CCC,1,Upgraded due to strong quarterly earnings,False
SEC0040,Fox Group,10,Moody's,MDY,7,Viability,SGX,UK,Healthcare,2022-02-10,A,5,Decreased liquidity ratio,False
SEC0018,Herrera-Walters,20,S&P,SNP,9,Long Term,BSE,India,Automotive,2022-01-01,CCC,1,Improved financial stability,False
SEC0066,"Scott, Thomas and Cervantes",30,Fitch,FTC,11,Viability,NYSE,Singapore,Finance,2023-11-10,AA-,7,Downgraded after debt increase,False
SEC0068,Moran-Stanley,30,Fitch,FTC,11,Short Term,BSE,USA,Energy,2022-06-18,AA+,9,Stable outlook maintained,False
SEC0059,Bailey-Larson,10,Moody's,MDY,7,Viability,NYSE,UK,Finance,2022-02-21,A+,6,Improved financial stability,False
SEC0044,Bishop-Sutton,30,Fitch,FTC,11,Short Term,SGX,USA,Healthcare,2022-01-01,B,2,Downgraded after debt increase,False
SEC0089,Trevino-Wilson,10,Moody's,MDY,7,Viability,LON,UK,Energy,2022-01-01,BB,3,Upgraded due to strong quarterly earnings,False
SEC0057,"Payne, Olsen and Gilmore",20,S&P,SNP,9,Recovery,LON,Singapore,Finance,2022-01-01,CCC,1,Stable outlook maintained,False
SEC0063,Wood-Stewart,30,Fitch,FTC,11,Short Term,NSE,Singapore,Energy,2022-09-28,AA,8,Stable outlook maintained,False
SEC0024,Hardy-Sims,30,Fitch,FTC,11,Long Term,SGX,Germany,Energy,2022-12-30,BB,3,Upgraded due to strong quarterly earnings,True
SEC0010,Barton Group,20,S&P,SNP,9,Short Term,NYSE,UK,Energy,2022-01-01,A+,6,Decreased liquidity ratio,False
SEC0060,Kelly Group,20,S&P,SNP,9,Viability,SGX,Germany,Automotive,2023-08-27,A+,6,Downgraded after debt increase,False
SEC0064,Barnes PLC,10,Moody's,MDY,7,Recovery,NSE,USA,Finance,2023-06-15,A,5,Decreased liquidity ratio,False
SEC0060,Kelly Group,20,S&P,SNP,9,Viability,SGX,Germany,Automotive,2023-10-03,CCC,1,Improved financial stability,False
SEC0054,Crawford Inc,20,S&P,SNP,9,Short Term,SGX,UK,Energy,2022-01-01,BBB,4,Stable outlook maintained,False
SEC0008,Goodwin-Donaldson,20,S&P,SNP,9,Short Term,SGX,Singapore,Healthcare,2022-03-01,B,2,Improved financial stability,False
SEC0042,Gutierrez Group,30,Fitch,FTC,11,Viability,NYSE,USA,Energy,2022-02-26,A,5,Improved financial stability,False
SEC0017,Brown Inc,10,Moody's,MDY,7,Viability,NSE,Germany,Healthcare,2022-09-24,AA,8,Improved financial stability,True
SEC0029,"Rice, Perez and Calderon",10,Moody's,MDY,7,Long Term,NSE,India,Technology,2024-01-21,AA,8,Decreased liquidity ratio,False
SEC0016,Ingram Inc,10,Moody's,MDY,7,Short Term,BSE,India,Automotive,2022-07-03,AA-,7,Downgraded after debt increase,False
SEC0042,Gutierrez Group,20,S&P,SNP,9,Viability,NYSE,USA,Energy,2022-10-25,CCC,1,Decreased liquidity ratio,False
SEC0004,Wallace-Collins,20,S&P,SNP,9,Viability,SGX,Germany,Finance,2022-01-01,AA+,9,Upgraded due to strong quarterly earnings,False
SEC0003,"Clark, Martin and Wright",20,S&P,SNP,9,Short Term,NYSE,Singapore,Energy,2024-07-25,A,5,Decreased liquidity ratio,True
SEC0072,Butler-Newton,10,Moody's,MDY,7,Viability,LON,Singapore,Finance,2022-11-19,B,2,Decreased liquidity ratio,False
SEC0014,"Gates, Hernandez and Hernandez",10,Moody's,MDY,7,Viability,BSE,UK,Energy,2024-05-29,CCC,1,Upgraded due to strong quarterly earnings,True
SEC0006,"Wilson, Rich and Miller",10,Moody's,MDY,7,Short Term,NYSE,Germany,Automotive,2022-01-01,AAA,10,Decreased liquidity ratio,False
SEC0032,"Bryant, Brady and Meza",20,S&P,SNP,9,Long Term,SGX,India,Automotive,2023-04-02,BB,3,Upgraded due to strong quarterly earnings,False
SEC0028,"Black, Harper and Cox",20,S&P,SNP,9,Recovery,NYSE,India,Automotive,2022-01-01,AA,8,Improved financial stability,False
SEC0051,Rogers LLC,20,S&P,SNP,9,Viability,BSE,USA,Automotive,2022-07-08,BBB,4,Downgraded after debt increase,False
SEC0029,"Rice, Perez and Calderon",10,Moody's,MDY,7,Long Term,NSE,India,Technology,2022-12-27,A,5,Upgraded due to strong quarterly earnings,False
SEC0021,Jones-Leonard,30,Fitch,FTC,11,Recovery,NYSE,Germany,Healthcare,2023-06-25,BB,3,Downgraded after debt increase,False
SEC0001,Guerra Inc,20,S&P,SNP,9,Short Term,LON,India,Finance,2022-01-01,B,2,Stable outlook maintained,False
SEC0029,"Rice, Perez and Calderon",20,S&P,SNP,9,Long Term,NSE,India,Technology,2022-11-03,BB,3,Stable outlook maintained,True
SEC0023,Brown-Lloyd,30,Fitch,FTC,11,Short Term,BSE,India,Automotive,2022-04-13,AA+,9,Improved financial stability,False
SEC0094,"Anderson, Cardenas and Rodriguez",20,S&P,SNP,9,Viability,LON,UK,Finance,2022-10-16,CCC,1,Decreased liquidity ratio,False
SEC0078,Meadows-Christensen,30,Fitch,FTC,11,Short Term,SGX,Singapore,Automotive,2022-01-01,BB,3,Downgraded after debt increase,False
SEC0069,"Peterson, Johnston and Griffin",10,Moody's,MDY,7,Recovery,LON,Germany,Healthcare,2022-11-05,AA-,7,Upgraded due to strong quarterly earnings,False
SEC0029,"Rice, Perez and Calderon",30,Fitch,FTC,11,Long Term,NSE,India,Technology,2022-09-23,A+,6,Improved financial stability,False
SEC0085,Wilson-Robbins,20,S&P,SNP,9,Recovery,BSE,Germany,Automotive,2022-01-01,AAA,10,Decreased liquidity ratio,False
SEC0006,"Wilson, Rich and Miller",30,Fitch,FTC,11,Short Term,NYSE,Germany,Automotive,2022-01-01,CCC,1,Downgraded after debt increase,False
SEC0007,James and Sons,10,Moody's,MDY,7,Viability,SGX,Singapore,Energy,2022-11-11,AA-,7,Decreased liquidity ratio,False
SEC0072,Butler-Newton,10,Moody's,MDY,7,Viability,LON,Singapore,Finance,2022-01-01,B,2,Decreased liquidity ratio,False
SEC0044,Bishop-Sutton,30,Fitch,FTC,11,Short Term,SGX,USA,Healthcare,2024-12-10,BB,3,Upgraded due to strong quarterly earnings,False
SEC0010,Barton Group,10,Moody's,MDY,7,Short Term,NYSE,UK,Energy,2022-06-06,AAA,10,Upgraded due to strong quarterly earnings,True
SEC0048,Clay Ltd,30,Fitch,FTC,11,Long Term,BSE,Singapore,Automotive,2022-06-16,AA+,9,Downgraded after debt increase,False
SEC0031,Moore-Bullock,30,Fitch,FTC,11,Long Term,SGX,India,Energy,2022-06-15,B,2,Improved financial stability,False
SEC0020,Smith Ltd,20,S&P,SNP,9,Viability,BSE,USA,Finance,2023-07-13,A+,6,Decreased liquidity ratio,False
SEC0024,Hardy-Sims,10,Moody's,MDY,7,Long Term,SGX,Germany,Energy,2025-09-18,A+,6,Improved financial stability,True
SEC0046,Macdonald-Chavez,30,Fitch,FTC,11,Long Term,SGX,Germany,Healthcare,2025-05-17,B,2,Stable outlook maintained,True
SEC0083,Curtis PLC,30,Fitch,FTC,11,Short Term,SGX,UK,Automotive,2022-01-01,BBB,4,Upgraded due to strong quarterly earnings,False
SEC0084,"Solis, Hutchinson and Morris",20,S&P,SNP,9,Short Term,NYSE,UK,Automotive,2022-05-15,AAA,10,Stable outlook maintained,False
SEC0053,Brandt-Harper,10,Moody's,MDY,7,Long Term,LON,Germany,Healthcare,2022-06-15,AA-,7,Stable outlook maintained,True
SEC0086,Miller and Sons,30,Fitch,FTC,11,Viability,SGX,Germany,Finance,2022-01-01,AA,8,Improved financial stability,False
SEC0019,Adams PLC,30,Fitch,FTC,11,Long Term,LON,India,Healthcare,2022-12-13,CCC,1,Upgraded due to strong quarterly earnings,False
SEC0007,James and Sons,20,S&P,SNP,9,Viability,SGX,Singapore,Energy,2022-01-01,AA+,9,Downgraded after debt increase,False
SEC0027,Patterson-Nguyen,30,Fitch,FTC,11,Short Term,SGX,Germany,Automotive,2022-01-01,AAA,10,Upgraded due to strong quarterly earnings,False
SEC0007,James and Sons,20,S&P,SNP,9,Viability,SGX,Singapore,Energy,2022-11-08,AA+,9,Improved financial stability,False
SEC0097,"Hill, Lopez and Allen",10,Moody's,MDY,7,Viability,NYSE,UK,Finance,2022-11-25,BB,3,Downgraded after debt increase,True
SEC0002,Gonzalez-Garza,10,Moody's,MDY,7,Long Term,NSE,USA,Energy,2023-11-01,AA+,9,Stable outlook maintained,False
SEC0100,"Lee, Schaefer and Sutton",30,Fitch,FTC,11,Long Term,SGX,UK,Energy,2022-03-01,AA-,7,Improved financial stability,True
SEC0049,West-Mullen,30,Fitch,FTC,11,Viability,LON,UK,Energy,2022-01-01,CCC,1,Improved financial stability,False
SEC0053,Brandt-Harper,20,S&P,SNP,9,Long Term,LON,Germany,Healthcare,2022-12-18,B,2,Upgraded due to strong quarterly earnings,False
SEC0030,Lamb Group,10,Moody's,MDY,7,Recovery,SGX,USA,Finance,2022-09-21,A+,6,Decreased liquidity ratio,False
SEC0058,Rosales Group,20,S&P,SNP,9,Viability,SGX,Singapore,Automotive,2024-04-11,AA-,7,Decreased liquidity ratio,False
SEC0067,Poole LLC,10,Moody's,MDY,7,Recovery,SGX,UK,Technology,2022-10-12,BB,3,Improved financial stability,False
SEC0030,Lamb Group,20,S&P,SNP,9,Recovery,SGX,USA,Finance,2024-10-17,BB,3,Upgraded due to strong quarterly earnings,True
SEC0031,Moore-Bullock,30,Fitch,FTC,11,Long Term,SGX,India,Energy,2023-06-09,A,5,Upgraded due to strong quarterly earnings,False
SEC0034,Booker-Elliott,20,S&P,SNP,9,Recovery,NSE,USA,Healthcare,2022-04-30,A+,6,Improved financial stability,False
SEC0087,Campbell-Mayer,20,S&P,SNP,9,Short Term,BSE,Germany,Finance,2022-01-01,BB,3,Improved financial stability,False
SEC0045,Jones-Leach,30,Fitch,FTC,11,Short Term,NSE,India,Energy,2022-09-17,CCC,1,Improved financial stability,False
SEC0068,Moran-Stanley,20,S&P,SNP,9,Short Term,BSE,USA,Energy,2022-05-25,AAA,10,Stable outlook maintained,True
SEC0078,Meadows-Christensen,10,Moody's,MDY,7,Short Term,SGX,Singapore,Automotive,2022-01-01,A+,6,Decreased liquidity ratio,False
SEC0045,Jones-Leach,10,Moody's,MDY,7,Short Term,NSE,India,Energy,2023-06-05,A,5,Improved financial stability,False
SEC0094,"Anderson, Cardenas and Rodriguez",30,Fitch,FTC,11,Viability,LON,UK,Finance,2022-10-14,CCC,1,Improved financial stability,False
SEC0061,Garcia-Garcia,20,S&P,SNP,9,Viability,BSE,Germany,Automotive,2022-01-01,A+,6,Stable outlook maintained,False
SEC0001,Guerra Inc,10,Moody's,MDY,7,Short Term,LON,India,Finance,2022-04-03,AAA,10,Improved financial stability,True
