Security_Id,Security_Name,Vendor_Id,Vendor_Name,Vendor_Code,Source_Feed_Id,Rating_Type,Exchange_Code,Country,Sector,Rating_Date,Rating_Code,Rating_Score,Rating_Reason,Is_Active,Rating_Year,Rating_Month,Effective_Date
SEC0066,"Scott, Thomas and Cervantes",10,Moody'S,MDY,7,Viability,NYSE,Singapore,Finance,2024-02-20,A,5,Improved financial stability,False,2024,2,2022-01-01
SEC0011,Gibson-Moore,10,Moody'S,MDY,7,Long Term,BSE,Usa,Technology,2022-05-18,AA-,7,Improved financial stability,False,2022,5,2022-01-01
SEC0094,"Anderson, Cardenas and Rodriguez",20,S&P,SNP,9,Viability,LON,Uk,Finance,2023-01-16,AA,8,Improved financial stability,True,2023,1,2022-01-01
SEC0035,Moran Inc,20,S&P,SNP,9,Short Term,NYSE,India,Technology,2023-11-12,CCC,1,Stable outlook maintained,True,2023,11,2022-01-01
SEC0019,Adams PLC,20,S&P,SNP,9,Long Term,LON,India,Healthcare,2022-06-05,AA+,9,Upgraded due to strong quarterly earnings,False,2022,6,2022-01-01
SEC0030,Lamb Group,30,Fitch,FTC,11,Recovery,SGX,Usa,Finance,2022-01-01,A,5,Decreased liquidity ratio,False,2022,1,2022-01-01
SEC0067,Poole LLC,30,Fitch,FTC,11,Recovery,SGX,Uk,Technology,2024-07-22,A,5,Upgraded due to strong quarterly earnings,False,2024,7,2022-01-01
SEC0041,Hansen LLC,10,Moody'S,MDY,7,Viability,NYSE,Singapore,Technology,2023-05-28,A+,6,Upgraded due to strong quarterly earnings,False,2023,5,2022-01-01
SEC0095,"Wheeler, Norman and Rodriguez",10,Moody'S,MDY,7,Recovery,NSE,Uk,Automotive,2022-01-01,A+,6,Decreased liquidity ratio,False,2022,1,2022-01-01
SEC0036,Myers Inc,10,Moody'S,MDY,7,Viability,BSE,Singapore,Technology,2023-01-16,A+,6,Upgraded due to strong quarterly earnings,False,2023,1,2022-01-01
SEC0053,Brandt-Harper,30,Fitch,FTC,11,Long Term,LON,Germany,Healthcare,2023-11-12,AA,8,Upgraded due to strong quarterly earnings,True,2023,11,2022-01-01
SEC0030,Lamb Group,10,Moody'S,MDY,7,Recovery,SGX,Usa,Finance,2022-01-01,BBB,4,Upgraded due to strong quarterly earnings,False,2022,1,2022-01-01
SEC0085,Wilson-Robbins,20,S&P,SNP,9,Recovery,BSE,Germany,Automotive,2022-02-05,AA,8,Downgraded after debt increase,False,2022,2,2022-01-01
SEC0035,Moran Inc,20,S&P,SNP,9,Short Term,NYSE,India,Technology,2022-10-09,BB,3,Improved financial stability,False,2022,10,2022-01-01
SEC0040,Fox Group,20,S&P,SNP,9,Viability,SGX,Uk,Healthcare,2024-05-23,AA+,9,Stable outlook maintained,False,2024,5,2022-01-01
SEC0026,Hernandez Inc,30,Fitch,FTC,11,Viability,SGX,Uk,Healthcare,2022-06-19,BBB,4,Downgraded after debt increase,False,2022,6,2022-01-01
SEC0046,Macdonald-Chavez,10,Moody'S,MDY,7,Long Term,SGX,Germany,Healthcare,2022-01-01,A+,6,Improved financial stability,False,2022,1,2022-01-01
SEC0084,"Solis, Hutchinson and Morris",20,S&P,SNP,9,Short Term,NYSE,Uk,Automotive,2023-07-15,AAA,10,Improved financial stability,True,2023,7,2022-01-01
SEC0043,Dillon PLC,20,S&P,SNP,9,Recovery,BSE,India,Healthcare,2023-03-13,AA+,9,Upgraded due to strong quarterly earnings,True,2023,3,2022-01-01
SEC0096,Collins PLC,20,S&P,SNP,9,Short Term,SGX,Singapore,Finance,2022-01-01,B,2,Downgraded after debt increase,False,2022,1,2022-01-01
SEC0003,"Clark, Martin and Wright",30,Fitch,FTC,11,Short Term,NYSE,Singapore,Energy,2022-01-01,BB,3,Improved financial stability,False,2022,1,2022-01-01
SEC0048,Clay Ltd,10,Moody'S,MDY,7,Long Term,BSE,Singapore,Automotive,2022-02-22,AA-,7,Improved financial stability,False,2022,2,2022-01-01
SEC0043,Dillon PLC,30,Fitch,FTC,11,Recovery,BSE,India,Healthcare,2022-02-19,A,5,Stable outlook maintained,True,2022,2,2022-01-01
SEC0007,James and Sons,20,S&P,SNP,9,Viability,SGX,Singapore,Energy,2024-08-10,BB,3,Downgraded after debt increase,True,2024,8,2022-01-01
SEC0060,Kelly Group,30,Fitch,FTC,11,Viability,SGX,Germany,Automotive,2022-06-19,AA-,7,Improved financial stability,False,2022,6,2022-01-01
SEC0093,"Mccormick, Greene and Phillips",20,S&P,SNP,9,Short Term,BSE,Uk,Automotive,2022-01-01,AAA,10,Improved financial stability,False,2022,1,2022-01-01
SEC0023,Brown-Lloyd,10,Moody'S,MDY,7,Short Term,BSE,India,Automotive,2022-09-18,CCC,1,Downgraded after debt increase,True,2022,9,2022-01-01
SEC0065,"Rodriguez, Green and Shaw",20,S&P,SNP,9,Recovery,NYSE,Uk,Healthcare,2022-10-11,AAA,10,Upgraded due to strong quarterly earnings,False,2022,10,2022-01-01
SEC0094,"Anderson, Cardenas and Rodriguez",30,Fitch,FTC,11,Viability,LON,Uk,Finance,2024-05-02,AA,8,Upgraded due to strong quarterly earnings,False,2024,5,2022-10-04
SEC0070,Matthews LLC,30,Fitch,FTC,11,Long Term,LON,India,Automotive,2022-01-01,AAA,10,Upgraded due to strong quarterly earnings,False,2022,1,2022-01-01
SEC0096,Collins PLC,30,Fitch,FTC,11,Short Term,SGX,Singapore,Finance,2022-01-01,A+,6,Improved financial stability,False,2022,1,2022-01-01
SEC0019,Adams PLC,30,Fitch,FTC,11,Long Term,LON,India,Healthcare,2024-07-31,AAA,10,Stable outlook maintained,True,2024,7,2022-01-01
SEC0076,"Wheeler, Berry and Gardner",30,Fitch,FTC,11,Long Term,LON,India,Finance,2024-05-18,A,5,Decreased liquidity ratio,True,2024,5,2022-01-01
SEC0052,Gilmore and Sons,30,Fitch,FTC,11,Short Term,NYSE,Uk,Automotive,2022-01-01,AA,8,Stable outlook maintained,False,2022,1,2022-01-01
SEC0084,"Solis, Hutchinson and Morris",30,Fitch,FTC,11,Short Term,NYSE,Uk,Automotive,2022-10-16,A+,6,Improved financial stability,True,2022,10,2022-01-01
SEC0076,"Wheeler, Berry and Gardner",10,Moody'S,MDY,7,Long Term,LON,India,Finance,2022-11-09,AA,8,Upgraded due to strong quarterly earnings,False,2022,11,2022-01-01
SEC0041,Hansen LLC,30,Fitch,FTC,11,Viability,NYSE,Singapore,Technology,2022-06-03,BB,3,Stable outlook maintained,True,2022,6,2022-01-01
SEC0077,"Jones, Gonzalez and Wood",10,Moody'S,MDY,7,Viability,LON,Singapore,Finance,2023-02-21,A,5,Downgraded after debt increase,False,2023,2,2022-01-01
SEC0033,Watson-Chang,20,S&P,SNP,9,Recovery,BSE,Singapore,Technology,2022-04-21,A,5,Decreased liquidity ratio,True,2022,4,2022-01-01
SEC0092,"Mcfarland, Andersen and Foster",20,S&P,SNP,9,Short Term,SGX,Singapore,Automotive,2022-02-13,A,5,Stable outlook maintained,False,2022,2,2022-01-01
SEC0056,Smith-Galloway,30,Fitch,FTC,11,Long Term,LON,Singapore,Healthcare,2022-01-01,BBB,4,Stable outlook maintained,False,2022,1,2022-01-01
SEC0036,Myers Inc,30,Fitch,FTC,11,Viability,BSE,Singapore,Technology,2022-01-01,B,2,Stable outlook maintained,False,2022,1,2022-01-01
SEC0072,Butler-Newton,10,Moody'S,MDY,7,Viability,LON,Singapore,Finance,2023-03-25,AA,8,Decreased liquidity ratio,False,2023,3,2022-01-01
SEC0071,Rogers-Nunez,20,S&P,SNP,9,Long Term,NSE,Uk,Automotive,2023-09-23,B,2,Stable outlook maintained,False,2023,9,2022-01-01
SEC0045,Jones-Leach,20,S&P,SNP,9,Short Term,NSE,India,Energy,2022-11-09,AA,8,Improved financial stability,True,2022,11,2022-08-10
SEC0011,Gibson-Moore,30,Fitch,FTC,11,Long Term,BSE,Usa,Technology,2022-01-01,AAA,10,Downgraded after debt increase,False,2022,1,2022-01-01
SEC0050,Matthews Inc,20,S&P,SNP,9,Recovery,SGX,Germany,Energy,2022-05-15,BB,3,Decreased liquidity ratio,True,2022,5,2022-01-01
SEC0029,"Rice, Perez and Calderon",20,S&P,SNP,9,Long Term,NSE,India,Technology,2022-01-01,AA,8,Improved financial stability,False,2022,1,2022-01-01
SEC0050,Matthews Inc,20,S&P,SNP,9,Recovery,SGX,Germany,Energy,2022-01-01,A+,6,Downgraded after debt increase,False,2022,1,2022-01-01
SEC0047,Garcia-Patrick,10,Moody'S,MDY,7,Viability,SGX,Germany,Finance,2022-01-01,BBB,4,Upgraded due to strong quarterly earnings,False,2022,1,2022-01-01
SEC0033,Watson-Chang,10,Moody'S,MDY,7,Recovery,BSE,Singapore,Technology,2022-01-01,B,2,Upgraded due to strong quarterly earnings,False,2022,1,2022-01-01
SEC0073,"Davis, Knox and Hall",20,S&P,SNP,9,Recovery,BSE,Singapore,Healthcare,2023-10-29,B,2,Decreased liquidity ratio,False,2023,10,2022-03-30
SEC0092,"Mcfarland, Andersen and Foster",20,S&P,SNP,9,Short Term,SGX,Singapore,Automotive,2022-01-01,A+,6,Decreased liquidity ratio,False,2022,1,2022-01-01
SEC0006,"Wilson, Rich and Miller",30,Fitch,FTC,11,Short Term,NYSE,Germany,Automotive,2022-06-04,BB,3,Downgraded after debt increase,False,2022,6,2022-01-01
SEC0064,Barnes PLC,20,S&P,SNP,9,Recovery,NSE,Usa,Finance,2022-01-01,AA-,7,Improved financial stability,False,2022,1,2022-01-01
SEC0027,Patterson-Nguyen,20,S&P,SNP,9,Short Term,SGX,Germany,Automotive,2024-02-29,A,5,Decreased liquidity ratio,False,2024,2,2022-01-01
SEC0067,Poole LLC,10,Moody'S,MDY,7,Recovery,SGX,Uk,Technology,2023-10-20,A,5,Downgraded after debt increase,True,2023,10,2022-01-01
SEC0081,"Daugherty, Walters and Haas",20,S&P,SNP,9,Long Term,NSE,Singapore,Technology,2024-08-15,BB,3,Upgraded due to strong quarterly earnings,False,2024,8,2022-01-01
SEC0028,"Black, Harper and Cox",30,Fitch,FTC,11,Recovery,NYSE,India,Automotive,2022-12-20,A+,6,Decreased liquidity ratio,True,2022,12,2022-01-01
SEC0003,"Clark, Martin and Wright",10,Moody'S,MDY,7,Short Term,NYSE,Singapore,Energy,2022-07-11,BBB,4,Upgraded due to strong quarterly earnings,False,2022,7,2022-01-01
SEC0018,Herrera-Walters,30,Fitch,FTC,11,Long Term,BSE,India,Automotive,2024-08-15,AAA,10,Upgraded due to strong quarterly earnings,False,2024,8,2022-01-01
SEC0089,Trevino-Wilson,20,S&P,SNP,9,Viability,LON,Uk,Energy,2022-01-01,A,5,Downgraded after debt increase,False,2022,1,2022-01-01
SEC0047,Garcia-Patrick,10,Moody'S,MDY,7,Viability,SGX,Germany,Finance,2022-06-09,AAA,10,Upgraded due to strong quarterly earnings,True,2022,6,2022-01-01
SEC0048,Clay Ltd,30,Fitch,FTC,11,Long Term,BSE,Singapore,Automotive,2022-05-21,BBB,4,Stable outlook maintained,False,2022,5,2022-01-01
SEC0078,Meadows-Christensen,30,Fitch,FTC,11,Short Term,SGX,Singapore,Automotive,2023-03-03,A+,6,Improved financial stability,False,2023,3,2022-01-01
SEC0033,Watson-Chang,20,S&P,SNP,9,Recovery,BSE,Singapore,Technology,2022-01-01,BB,3,Improved financial stability,False,2022,1,2022-01-01
SEC0034,Booker-Elliott,10,Moody'S,MDY,7,Recovery,NSE,Usa,Healthcare,2022-07-14,AAA,10,Upgraded due to strong quarterly earnings,True,2022,7,2022-01-01
SEC0011,Gibson-Moore,10,Moody'S,MDY,7,Long Term,BSE,Usa,Technology,2024-11-07,AA,8,Decreased liquidity ratio,True,2024,11,2022-01-01
SEC0100,"Lee, Schaefer and Sutton",20,S&P,SNP,9,Long Term,SGX,Uk,Energy,2022-10-22,A,5,Improved financial stability,False,2022,10,2022-10-22
SEC0067,Poole LLC,10,Moody'S,MDY,7,Recovery,SGX,Uk,Technology,2022-01-01,A,5,Stable outlook maintained,False,2022,1,2022-01-01
SEC0017,Brown Inc,30,Fitch,FTC,11,Viability,NSE,Germany,Healthcare,2022-05-25,AA+,9,Improved financial stability,True,2022,5,2022-01-01
SEC0073,"Davis, Knox and Hall",10,Moody'S,MDY,7,Recovery,BSE,Singapore,Healthcare,2022-01-01,AA-,7,Downgraded after debt increase,False,2022,1,2022-01-01
SEC0065,"Rodriguez, Green and Shaw",30,Fitch,FTC,11,Recovery,NYSE,Uk,Healthcare,2022-07-03,BBB,4,Decreased liquidity ratio,False,2022,7,2022-01-01
SEC0035,Moran Inc,30,Fitch,FTC,11,Short Term,NYSE,India,Technology,2022-01-01,CCC,1,Stable outlook maintained,False,2022,1,2022-01-01
SEC0064,Barnes PLC,30,Fitch,FTC,11,Recovery,NSE,Usa,Finance,2022-10-26,B,2,Decreased liquidity ratio,False,2022,10,2022-01-01
SEC0037,"Hill, Rios and Bryant",20,S&P,SNP,9,Recovery,NSE,Uk,Technology,2022-01-01,CCC,1,Decreased liquidity ratio,False,2022,1,2022-01-01
SEC0035,Moran Inc,20,S&P,SNP,9,Short Term,NYSE,India,Technology,2022-01-01,BBB,4,Improved financial stability,False,2022,1,2022-01-01
SEC0005,"Mcdonald, Mcguire and Wyatt",20,S&P,SNP,9,Short Term,NSE,Uk,Automotive,2022-10-04,B,2,Decreased liquidity ratio,False,2022,10,2022-01-01
SEC0049,West-Mullen,20,S&P,SNP,9,Viability,LON,Uk,Energy,2022-09-12,AAA,10,Decreased liquidity ratio,False,2022,9,2022-01-01
SEC0070,Matthews LLC,20,S&P,SNP,9,Long Term,LON,India,Automotive,2024-01-30,AA-,7,Improved financial stability,False,2024,1,2022-01-01
SEC0031,Moore-Bullock,10,Moody'S,MDY,7,Long Term,SGX,India,Energy,2022-01-01,AA+,9,Upgraded due to strong quarterly earnings,False,2022,1,2022-01-01
SEC0008,Goodwin-Donaldson,10,Moody'S,MDY,7,Short Term,SGX,Singapore,Healthcare,2023-01-16,AAA,10,Improved financial stability,True,2023,1,2022-01-01
SEC0002,Gonzalez-Garza,10,Moody'S,MDY,7,Long Term,NSE,Usa,Energy,2022-12-06,A+,6,Improved financial stability,False,2022,12,2022-01-01
SEC0052,Gilmore and Sons,10,Moody'S,MDY,7,Short Term,NYSE,Uk,Automotive,2023-01-06,AA,8,Decreased liquidity ratio,True,2023,1,2022-01-01
SEC0053,Brandt-Harper,30,Fitch,FTC,11,Long Term,LON,Germany,Healthcare,2022-01-01,BBB,4,Downgraded after debt increase,False,2022,1,2022-01-01
SEC0093,"Mccormick, Greene and Phillips",10,Moody'S,MDY,7,Short Term,BSE,Uk,Automotive,2022-01-01,CCC,1,Improved financial stability,False,2022,1,2022-01-01
SEC0075,Foster-Adams,30,Fitch,FTC,11,Recovery,BSE,Germany,Healthcare,2022-03-06,A+,6,Improved financial stability,True,2022,3,2022-01-01
SEC0070,Matthews LLC,20,S&P,SNP,9,Long Term,LON,India,Automotive,2023-02-19,AAA,10,Improved financial stability,False,2023,2,2022-01-01
SEC0020,Smith Ltd,30,Fitch,FTC,11,Viability,BSE,Usa,Finance,2022-01-01,AA,8,Decreased liquidity ratio,False,2022,1,2022-01-01
SEC0096,Collins PLC,20,S&P,SNP,9,Short Term,SGX,Singapore,Finance,2022-03-04,BBB,4,Improved financial stability,False,2022,3,2022-01-01
SEC0092,"Mcfarland, Andersen and Foster",30,Fitch,FTC,11,Short Term,SGX,Singapore,Automotive,2022-01-01,AA-,7,Decreased liquidity ratio,False,2022,1,2022-01-01
SEC0051,Rogers LLC,10,Moody'S,MDY,7,Viability,BSE,Usa,Automotive,2022-08-07,BB,3,Stable outlook maintained,True,2022,8,2022-01-01
SEC0009,Anderson LLC,30,Fitch,FTC,11,Recovery,BSE,Uk,Energy,2022-12-03,B,2,Decreased liquidity ratio,True,2022,12,2022-01-01
SEC0008,Goodwin-Donaldson,30,Fitch,FTC,11,Short Term,SGX,Singapore,Healthcare,2022-11-25,CCC,1,Stable outlook maintained,True,2022,11,2022-01-01
SEC0074,Moyer PLC,30,Fitch,FTC,11,Viability,SGX,Uk,Automotive,2022-01-01,AAA,10,Improved financial stability,False,2022,1,2022-01-01
SEC0031,Moore-Bullock,10,Moody'S,MDY,7,Long Term,SGX,India,Energy,2023-10-14,B,2,Stable outlook maintained,True,2023,10,2022-01-01
SEC0056,Smith-Galloway,10,Moody'S,MDY,7,Long Term,LON,Singapore,Healthcare,2022-01-01,BBB,4,Upgraded due to strong quarterly earnings,False,2022,1,2022-01-01
SEC0071,Rogers-Nunez,30,Fitch,FTC,11,Long Term,NSE,Uk,Automotive,2022-12-02,CCC,1,Upgraded due to strong quarterly earnings,True,2022,12,2022-01-01
SEC0024,Hardy-Sims,20,S&P,SNP,9,Long Term,SGX,Germany,Energy,2022-01-01,CCC,1,Stable outlook maintained,False,2022,1,2022-01-01
SEC0094,"Anderson, Cardenas and Rodriguez",20,S&P,SNP,9,Viability,LON,Uk,Finance,2022-11-14,CCC,1,Upgraded due to strong quarterly earnings,False,2022,11,2022-01-01
SEC0040,Fox Group,10,Moody'S,MDY,7,Viability,SGX,Uk,Healthcare,2022-02-10,A,5,Decreased liquidity ratio,False,2022,2,2022-01-01
SEC0018,Herrera-Walters,20,S&P,SNP,9,Long Term,BSE,India,Automotive,2022-01-01,CCC,1,Improved financial stability,False,2022,1,2022-01-01
SEC0066,"Scott, Thomas and Cervantes",30,Fitch,FTC,11,Viability,NYSE,Singapore,Finance,2023-11-10,AA-,7,Downgraded after debt increase,False,2023,11,2022-01-01
SEC0068,Moran-Stanley,30,Fitch,FTC,11,Short Term,BSE,Usa,Energy,2022-06-18,AA+,9,Stable outlook maintained,False,2022,6,2022-01-01
SEC0059,Bailey-Larson,10,Moody'S,MDY,7,Viability,NYSE,Uk,Finance,2022-02-21,A+,6,Improved financial stability,False,2022,2,2022-01-01
SEC0044,Bishop-Sutton,30,Fitch,FTC,11,Short Term,SGX,Usa,Healthcare,2022-01-01,B,2,Downgraded after debt increase,False,2022,1,2022-01-01
SEC0089,Trevino-Wilson,10,Moody'S,MDY,7,Viability,LON,Uk,Energy,2022-01-01,BB,3,Upgraded due to strong quarterly earnings,False,2022,1,2022-01-01
SEC0057,"Payne, Olsen and Gilmore",20,S&P,SNP,9,Recovery,LON,Singapore,Finance,2022-01-01,CCC,1,Stable outlook maintained,False,2022,1,2022-01-01
SEC0063,Wood-Stewart,30,Fitch,FTC,11,Short Term,NSE,Singapore,Energy,2022-09-28,AA,8,Stable outlook maintained,False,2022,9,2022-01-01
SEC0024,Hardy-Sims,30,Fitch,FTC,11,Long Term,SGX,Germany,Energy,2022-12-30,BB,3,Upgraded due to strong quarterly earnings,True,2022,12,2022-01-01
SEC0010,Barton Group,20,S&P,SNP,9,Short Term,NYSE,Uk,Energy,2022-01-01,A+,6,Decreased liquidity ratio,False,2022,1,2022-01-01
SEC0060,Kelly Group,20,S&P,SNP,9,Viability,SGX,Germany,Automotive,2023-08-27,A+,6,Downgraded after debt increase,False,2023,8,2022-01-01
SEC0064,Barnes PLC,10,Moody'S,MDY,7,Recovery,NSE,Usa,Finance,2023-06-15,A,5,Decreased liquidity ratio,False,2023,6,2022-01-01
SEC0060,Kelly Group,20,S&P,SNP,9,Viability,SGX,Germany,Automotive,2023-10-03,CCC,1,Improved financial stability,False,2023,10,2022-01-01
SEC0054,Crawford Inc,20,S&P,SNP,9,Short Term,SGX,Uk,Energy,2022-01-01,BBB,4,Stable outlook maintained,False,2022,1,2022-01-01
SEC0008,Goodwin-Donaldson,20,S&P,SNP,9,Short Term,SGX,Singapore,Healthcare,2022-03-01,B,2,Improved financial stability,False,2022,3,2022-01-01
SEC0042,Gutierrez Group,30,Fitch,FTC,11,Viability,NYSE,Usa,Energy,2022-02-26,A,5,Improved financial stability,False,2022,2,2022-01-01
SEC0017,Brown Inc,10,Moody'S,MDY,7,Viability,NSE,Germany,Healthcare,2022-09-24,AA,8,Improved financial stability,True,2022,9,2022-01-01
SEC0029,"Rice, Perez and Calderon",10,Moody'S,MDY,7,Long Term,NSE,India,Technology,2024-01-21,AA,8,Decreased liquidity ratio,False,2024,1,2022-01-01
SEC0016,Ingram Inc,10,Moody'S,MDY,7,Short Term,BSE,India,Automotive,2022-07-03,AA-,7,Downgraded after debt increase,False,2022,7,2022-01-01
SEC0042,Gutierrez Group,20,S&P,SNP,9,Viability,NYSE,Usa,Energy,2022-10-25,CCC,1,Decreased liquidity ratio,False,2022,10,2022-01-01
SEC0004,Wallace-Collins,20,S&P,SNP,9,Viability,SGX,Germany,Finance,2022-01-01,AA+,9,Upgraded due to strong quarterly earnings,False,2022,1,2022-01-01
SEC0003,"Clark, Martin and Wright",20,S&P,SNP,9,Short Term,NYSE,Singapore,Energy,2024-07-25,A,5,Decreased liquidity ratio,True,2024,7,2022-01-01
SEC0072,Butler-Newton,10,Moody'S,MDY,7,Viability,LON,Singapore,Finance,2022-11-19,B,2,Decreased liquidity ratio,False,2022,11,2022-01-01
SEC0014,"Gates, Hernandez and Hernandez",10,Moody'S,MDY,7,Viability,BSE,Uk,Energy,2024-05-29,CCC,1,Upgraded due to strong quarterly earnings,True,2024,5,2022-01-01
SEC0006,"Wilson, Rich and Miller",10,Moody'S,MDY,7,Short Term,NYSE,Germany,Automotive,2022-01-01,AAA,10,Decreased liquidity ratio,False,2022,1,2022-01-01
SEC0032,"Bryant, Brady and Meza",20,S&P,SNP,9,Long Term,SGX,India,Automotive,2023-04-02,BB,3,Upgraded due to strong quarterly earnings,False,2023,4,2022-01-01
SEC0028,"Black, Harper and Cox",20,S&P,SNP,9,Recovery,NYSE,India,Automotive,2022-01-01,AA,8,Improved financial stability,False,2022,1,2022-01-01
SEC0051,Rogers LLC,20,S&P,SNP,9,Viability,BSE,Usa,Automotive,2022-07-08,BBB,4,Downgraded after debt increase,False,2022,7,2022-01-01
SEC0029,"Rice, Perez and Calderon",10,Moody'S,MDY,7,Long Term,NSE,India,Technology,2022-12-27,A,5,Upgraded due to strong quarterly earnings,False,2022,12,2022-01-01
SEC0021,Jones-Leonard,30,Fitch,FTC,11,Recovery,NYSE,Germany,Healthcare,2023-06-25,BB,3,Downgraded after debt increase,False,2023,6,2022-01-01
SEC0001,Guerra Inc,20,S&P,SNP,9,Short Term,LON,India,Finance,2022-01-01,B,2,Stable outlook maintained,False,2022,1,2022-01-01
SEC0029,"Rice, Perez and Calderon",20,S&P,SNP,9,Long Term,NSE,India,Technology,2022-11-03,BB,3,Stable outlook maintained,True,2022,11,2022-01-01
SEC0023,Brown-Lloyd,30,Fitch,FTC,11,Short Term,BSE,India,Automotive,2022-04-13,AA+,9,Improved financial stability,False,2022,4,2022-01-01
SEC0094,"Anderson, Cardenas and Rodriguez",20,S&P,SNP,9,Viability,LON,Uk,Finance,2022-10-16,CCC,1,Decreased liquidity ratio,False,2022,10,2022-01-01
SEC0078,Meadows-Christensen,30,Fitch,FTC,11,Short Term,SGX,Singapore,Automotive,2022-01-01,BB,3,Downgraded after debt increase,False,2022,1,2022-01-01
SEC0069,"Peterson, Johnston and Griffin",10,Moody'S,MDY,7,Recovery,LON,Germany,Healthcare,2022-11-05,AA-,7,Upgraded due to strong quarterly earnings,False,2022,11,2022-01-01
SEC0029,"Rice, Perez and Calderon",30,Fitch,FTC,11,Long Term,NSE,India,Technology,2022-09-23,A+,6,Improved financial stability,False,2022,9,2022-01-01
SEC0085,Wilson-Robbins,20,S&P,SNP,9,Recovery,BSE,Germany,Automotive,2022-01-01,AAA,10,Decreased liquidity ratio,False,2022,1,2022-01-01
SEC0006,"Wilson, Rich and Miller",30,Fitch,FTC,11,Short Term,NYSE,Germany,Automotive,2022-01-01,CCC,1,Downgraded after debt increase,False,2022,1,2022-01-01
SEC0007,James and Sons,10,Moody'S,MDY,7,Viability,SGX,Singapore,Energy,2022-11-11,AA-,7,Decreased liquidity ratio,False,2022,11,2022-01-01
SEC0072,Butler-Newton,10,Moody'S,MDY,7,Viability,LON,Singapore,Finance,2022-01-01,B,2,Decreased liquidity ratio,False,2022,1,2022-01-01
SEC0044,Bishop-Sutton,30,Fitch,FTC,11,Short Term,SGX,Usa,Healthcare,2024-12-10,BB,3,Upgraded due to strong quarterly earnings,False,2024,12,2022-01-01
SEC0010,Barton Group,10,Moody'S,MDY,7,Short Term,NYSE,Uk,Energy,2022-06-06,AAA,10,Upgraded due to strong quarterly earnings,True,2022,6,2022-01-01
SEC0048,Clay Ltd,30,Fitch,FTC,11,Long Term,BSE,Singapore,Automotive,2022-06-16,AA+,9,Downgraded after debt increase,False,2022,6,2022-01-01
SEC0031,Moore-Bullock,30,Fitch,FTC,11,Long Term,SGX,India,Energy,2022-06-15,B,2,Improved financial stability,False,2022,6,2022-01-01
